City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Sharm El Sheikh,Amphoras Beach Ultra Inclusive,Ayman,Egypt,2 nights   ,August 2024,Family,Family Room,"September 7, 2024",swimming pool good room service helpful good food variety quality moderate,reception staff professional baby stroller almost impossible avoid stairs resort area large golf cars usual available takes much time mention late dinner limited cold cuts minimum variety,"Reception staff were not professional
- If you have baby with stroller, it is almost impossible to avoid some stairs
- Resort area is large and golf cars are usual not available or takes to much time.
- they mention late dinner (limited), but it is just cold cuts with minimum variety.","Swimming pool was good
- Room service were helpful
- Good food variety but quality is moderate.",-1,"['service', 'helpful good', 'room', 'food variety quality', 'swimming pool']","['time mention late', 'professional baby stroller', 'dinner', 'impossible avoid stairs', 'area large golf']","['food', 'pool', 'room', 'service']",[]
Luxor,Full Moon House,Leila,United Kingdom,2 nights   ,Feb-24,Couple,Two-Bedroom Apartment,"February 20, 2024",lovely stay full moon house whole apartment clean arrival spacious everything needed located west bank peaceful mainly dealt young man mohamed kind attentive needs works hard made great breakfast morning roof terrace amazing views nile luxor temple mostafa helped organise transfer property airport even arranged additionally transfer wanted travel aswan communication host easy reliable would definitely recommend staying,nothing everything great,Nothing- everything was great!,"We had a lovely stay at Full Moon House. The whole apartment was very clean on arrival. It was spacious and had everything we needed. Located on the West Bank, it was very peaceful. We mainly dealt with the young man, Mohamed, who was very kind and attentive to our needs. He works very hard and made a great breakfast in the morning (which we had on the roof terrace with amazing views of the Nile and Luxor Temple). Mostafa helped organise our transfer to the property from the airport, and even arranged additionally transfer when we wanted to travel to Aswan. Communication with the host was easy and reliable. We would definitely recommend staying here!",-1,"['house apartment clean', 'mohamed kind attentive', 'nile luxor temple', 'stay moon', 'mostafa helped']",[],"['nile', 'clean']",[]
Hurghada,Casa Cook El Gouna Adults,Hussein,Saudi Arabia,4 nights   ,April 2023,Couple,Deluxe Room,"April 28, 2023",clean suite came fully equipped,location bit far downtown however reception staff excellent sorting transportation anytime,"location is a bit far from downtown, however, reception staff were excellent in sorting out transportation anytime.","Clean, suite came fully equipped.",-1,"['came', 'fully', 'clean', 'suite', 'came fully equipped']","['bit', 'sorting', 'downtown reception', 'staff excellent', 'transportation anytime']",['clean'],['staff']
Sharm El Sheikh,Pickalbatros Laguna Vista Aqua Park HRS Inclusive,Noha,United Arab Emirates,5 nights   ,January 2025,Family,Special Offer - Deluxe Room - Egyptians and Residents Only,"January 12, 2025",variety food,variety food,No variety in the food,No variety in the food,-1,[],[],[],[]
Hurghada,TK Suites,Hossam88,Egypt,1 night   ,August 2023,Couple,Deluxe Suite,"August 28, 2023",excellent clean place,wifi rooms,No wifi in rooms..,Excellent and clean place,-1,"['place', 'excellent', 'clean', 'excellent clean', 'excellent clean place']",[],['clean'],[]
Hurghada,TK Suites,Anthony,United Kingdom,5 nights   ,July 2023,Couple,Deluxe Suite,"July 10, 2023",good place stay staff friendly marcel also two men staff spoke really good english also helpful kitchen stuff great,booked stated get mountain view internet works reception floor room food sell fish pesetarian food meat eaters,when I booked it stated that I get a Mountain View which was not there the internet only works at the reception floor and not my room and for the food they don't sell fish and I'm a pesetarian so only food for meat eaters,was a good place to stay staff was friendly Marcel 5***** also two men staff who spoke really good English was also very helpful 5***** and Kitchen stuff was great.,-1,"['marcel men', 'kitchen stuff great', 'men staff', 'spoke really good', 'place stay']","['eaters', 'floor room', 'sell fish', 'booked stated', 'mountain view internet']",['staff'],['room']
Sharm El Sheikh,Pickalbatros Royal Grand Sharm Adults Friendly Years Plus,Faisal,Saudi Arabia,12 nights   ,December 2024,Solo traveler,Honeymoon Package,"December 13, 2024",wonderful experience staff incredibly friendly attentive making sure needs met smile cleanliness hotel also impressive room common areas spotless highly recommend hotel anyone looking comfortable welcoming stay,negative feedback,No Negative Feedback,"It was a wonderful experience. The staff were incredibly friendly and attentive, making sure all my needs were met with a smile. The cleanliness of the hotel was also impressive; my room and the common areas were spotless. I highly recommend this hotel for anyone looking for a comfortable and welcoming stay",1,"['experience staff', 'room', 'incredibly friendly', 'highly recommend', 'hotel looking']",[],"['hotel', 'room', 'staff']",[]
Hurghada,Ancient Sands Golf Resort Residences,Layla,Bahrain,5 nights   ,July 2024,Couple,One Bedroom Apartment,"July 29, 2024",staff amazing especially yvonnne ahmed samy,negative feedback,No Negative Feedback,"The staff are amazing, especially Yvonnne, Ahmed, Samy.",1,"['ahmed', 'samy', 'amazing especially', 'yvonnne', 'staff']",[],['staff'],[]
Hurghada,Ancient Sands Golf Resort Residences,Karim,Egypt,3 nights   ,May 2024,Family,Two Bedrooms Apartment -2 Twin Beds,"June 2, 2024",room close hotel bakery sleep exhaust fumes last night complained checkout apparently known issue,room close hotel bakery sleep exhaust fumes last night complained checkout apparently known issue,Room was close to the hotel bakery and couldn’t sleep from the exhaust fumes on the last night….Complained during checkout and apparently it’s a known issue!!!!,Room was close to the hotel bakery and couldn’t sleep from the exhaust fumes on the last night….Complained during checkout and apparently it’s a known issue!!!!,-1,"['apparently known issue', 'complained checkout', 'couldn sleep', 'hotel', 'fumes']","['apparently known issue', 'complained checkout', 'couldn sleep', 'hotel', 'fumes']",['hotel'],['hotel']
Sharm El Sheikh,Four Seasons Resort Sharm El Sheikh,Ahmed,Saudi Arabia,6 nights   ,June 2024,Family,Deluxe Twin Room with Sea View,"June 26, 2024",everything amazing,negative feedback,No Negative Feedback,Everything was amazing,1,[],[],[],[]
Hurghada,New Eagles Aqua Park Resort,Lizel,Sweden,2 nights   ,November 2024,Solo traveler,Double or Twin Room with Pool View,"November 9, 2024",clean quiet close airport beach,negative feedback,No Negative Feedback,"Clean , quiet, close to airport, at the beach",1,"['close', 'clean', 'clean quiet', 'airport', 'beach']",[],"['beach', 'clean']",[]
Aswan,Hapi Hotel,Naoko,Thailand,3 nights   ,October 2023,Solo traveler,Standard Double or Twin Room,"October 27, 2023",good location even hotel self star hotel staff considered star hotel staff special thanks ms sonata helped broken travel item good idea fix trouble would mr khaled help wifi problem time,super old fashion style wifi mostly work anyway get paid,"Super Old fashion style.
Wifi, mostly not work.
Anyway, you’ll get what you paid.","Good location. 
Even the hotel it’s self is not 5star hotel, they have staff can be considered as 5 star hotel staff.
Special thanks for Ms. Sonata who helped out my broken travel item. She has good idea to fix most of the trouble that you would have.
And Mr.Khaled, who help my wifi problem all the time.",-1,"['help wifi problem', 'sonata helped', '5star', 'location', 'hotel staff considered']","['super', 'll paid', 'old', 'fashion style', 'wifi work']","['location', 'hotel', 'staff']","['wifi', 'old']"
Luxor,Sonesta St George Hotel Convention Center,Bing,United Kingdom,2 nights   ,Jan-25,Couple,Standard Side Nile View Room,"January 13, 2025",lovely staff made cake us arrival upgrade surprise whole stay experience super thank looking us make return future,negative feedback,No Negative Feedback,"So lovely the staff made a cake for us on arrival, and an upgrade too as a surprise, the whole stay experience was super! Thank you for looking after us and we will make return in the future.",1,"['make return future', 'arrival upgrade', 'super thank', 'staff', 'cake']",[],['staff'],[]
